S Parameter
$len [mm]
Y Axis
__cartesian__ 0 0 0.000000 -17.571532 3.000000 -4.950475
__settings__ 1 0 0 0 11 11 0 0 0 0
0 -16.1086
0.2 -16.7463
0.4 -17.1769
0.6 -17.4621
0.8 -17.5715
1 -17.5101
1.2 -17.3245
1.4 -17.0174
1.6 -16.5466
1.8 -15.8811
2 -15.0723
2.2 -13.9993
2.4 -13.784
2.6 -10.9944
2.8 -8.71463
3 -6.21389
dB(S(Port1,Port2)) [] - $widht='0mm' Freq='37.34GHz'
__settings__ -1 8 2 0 1 1
0 -11.998
0.2 -12.6994
0.4 -13.0801
0.6 -13.3675
0.8 -13.5944
1 -13.5587
1.2 -13.4536
1.4 -13.2078
1.6 -12.7935
1.8 -12.2563
2 -11.4895
2.2 -10.6469
2.4 -9.61535
2.6 -8.25217
2.8 -6.64809
3 -4.95048
dB(S(Port1,Port2)) [] - $widht='0.03mm' Freq='37.34GHz'
__settings__ -1 9 2 0 1 1
